player,team,competition_name,season_name,50/50,Bad Behaviour,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Injury Stoppage,Interception,Miscontrol,Offside,Own Goal Against,Own Goal For,Pass,Player Off,Player On,Pressure,Shield,Shot,Substitution
Demi Stokes,Manchester City WFC,FA Women's Super League,2018/2019,1.0,0.0,533.0,55.0,32.0,535.0,15.0,8.0,18.0,4.0,31.0,0.0,2.0,3.0,0.0,0.0,8.0,11.0,0.0,0.0,0.0,685.0,0.0,0.0,148.0,1.0,3.0,2.0
Demi Stokes,Manchester City WFC,FA Women's Super League,2019/2020,5.0,0.0,561.0,63.0,32.0,581.0,19.0,12.0,23.0,11.0,39.0,0.0,8.0,3.0,0.0,1.0,7.0,14.0,0.0,0.0,0.0,762.0,0.0,0.0,201.0,5.0,1.0,3.0
Demi Stokes,Manchester City WFC,FA Women's Super League,2020/2021,2.0,0.0,406.0,58.0,17.0,431.0,15.0,9.0,20.0,5.0,32.0,0.0,4.0,7.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,563.0,0.0,0.0,116.0,1.0,4.0,1.0
Demi Vance,Northern Ireland,UEFA Women's Euro,2022,0.0,0.0,67.0,7.0,9.0,55.0,5.0,2.0,7.0,4.0,3.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,87.0,0.0,0.0,33.0,0.0,0.0,0.0
Deneisha Selena Blackwood,Jamaica Women's,Women's World Cup,2019,0.0,0.0,62.0,30.0,11.0,80.0,13.0,6.0,8.0,10.0,7.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,104.0,0.0,0.0,49.0,2.0,2.0,0.0
Deneisha Selena Blackwood,Jamaica Women's,Women's World Cup,2023,2.0,0.0,74.0,29.0,10.0,93.0,18.0,6.0,4.0,5.0,17.0,0.0,3.0,1.0,0.0,1.0,7.0,5.0,0.0,0.0,0.0,174.0,0.0,0.0,64.0,1.0,2.0,0.0
Denise O'Sullivan,Brighton & Hove Albion WFC,FA Women's Super League,2020/2021,1.0,0.0,316.0,68.0,15.0,267.0,7.0,22.0,21.0,17.0,49.0,0.0,8.0,9.0,0.0,1.0,10.0,17.0,0.0,0.0,0.0,283.0,0.0,0.0,231.0,0.0,9.0,1.0
Denise O'Sullivan,North Carolina Courage,NWSL,2018,2.0,0.0,385.0,107.0,36.0,418.0,2.0,25.0,22.0,38.0,37.0,0.0,15.0,14.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,426.0,0.0,0.0,330.0,0.0,18.0,3.0
Denise O'Sullivan,Republic of Ireland Women's,Women's World Cup,2023,1.0,1.0,128.0,24.0,1.0,109.0,0.0,9.0,3.0,4.0,22.0,0.0,4.0,1.0,0.0,2.0,5.0,14.0,0.0,0.0,0.0,111.0,0.0,0.0,126.0,1.0,4.0,0.0
Desiree Rose Marie Scott,Canada Women's,Women's World Cup,2019,0.0,0.0,141.0,25.0,5.0,160.0,5.0,3.0,5.0,7.0,16.0,0.0,1.0,6.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,198.0,0.0,0.0,47.0,0.0,2.0,1.0
